,English,Santali
192445842,"The film has a worldwide gross collection of ₹1,784.0 million against a budget of ₹500 million.",᱕᱐ ᱠᱳᱴᱤ ᱴᱟᱠᱟ ᱵᱚᱫᱚᱞ ᱛᱮ ᱪᱤᱛᱟᱹᱨ ᱨᱮᱭᱟᱜ ᱵᱤᱥᱥᱚᱵᱮᱯᱤ ᱡᱚᱛᱚ ᱠᱚᱛᱮ ᱨᱚᱡᱽᱜᱟᱨ ᱦᱩᱭ ᱟᱠᱟᱱᱟ ᱑᱗᱘ ᱠᱳᱴᱤ ᱔᱐ ᱞᱟᱠ ᱴᱟᱠᱟ ᱾
192455842,A sequel to the movie is also on cards.,ᱱᱚᱣᱟ ᱪᱤᱛᱟᱹᱨ ᱨᱮᱭᱟᱜ ᱥᱤᱠᱩᱭᱮᱞ ᱦᱚᱸ ᱵᱮᱱᱟᱣ ᱨᱮᱭᱟᱜ ᱠᱟᱛᱷᱟ ᱾
192465842,"The film stars Rahul Bagga and Annu Kapoor, with Om Puri, Ravi Kishan, Sanjay Mishra, and Hrishita Bhatt in supporting roles.","ᱪᱚᱞᱚᱛ ᱪᱤᱛᱟᱹᱨᱮᱭ ᱯᱟᱴ ᱞᱮᱫᱟ ᱨᱟᱦᱩᱞ ᱵᱟᱜᱜᱟ ᱟᱨ ᱚᱱᱱᱩ ᱠᱟᱯᱩᱨ, ᱜᱚᱲᱚᱭᱤᱡ ᱪᱚᱨᱤᱛ ᱨᱮᱭ ᱯᱟᱴ ᱞᱮᱫᱟ ᱳᱢ ᱯᱩᱨᱤ, ᱨᱚᱵᱤ ᱠᱤᱥᱟᱱ, ᱥᱚᱱᱡᱚᱭ ᱢᱤᱥᱨᱚ ᱟᱨ ᱨᱤᱥᱤᱛᱟ ᱵᱷᱟᱴ ᱾"
192475842,This incident furthers his descent into alcoholism and drug addiction.,ᱱᱚᱣᱟ ᱜᱷᱚᱴᱚᱱᱟ ᱩᱱᱤ ᱦᱟᱺᱰᱤ ᱯᱟᱨᱣᱨᱟᱹ ᱧᱩ ᱟᱨ ᱱᱤᱥᱟᱹᱡᱤᱱᱤᱥ ᱥᱮᱡ ᱮ ᱴᱷᱮᱞᱟᱣ ᱤᱫᱤ ᱠᱮᱫᱮᱭᱟ ᱾
192485842,"Sanjay meets Kamlesh ""Kamli"", a fan of Nargis in New York, and they become quick friends.",ᱥᱚᱧᱡᱚᱭ ᱱᱤᱭᱩ ᱤᱭᱟᱨᱠ ᱨᱮ ᱱᱟᱨᱜᱤᱥ ᱨᱮᱱ ᱵᱷᱚᱠᱛᱟ ᱠᱚᱢᱚᱞᱮᱥ ᱥᱟᱶᱛᱮᱭ ᱧᱟᱯᱟᱢ ᱮᱱᱟ ᱟᱨ ᱩᱱᱠᱤᱱ ᱟᱹᱰᱤ ᱞᱚᱜᱚᱱ ᱜᱟᱛᱮ ᱠᱤᱱ ᱵᱮᱱᱟᱣ ᱮᱱᱟ ᱾
192495842,Arjun's father gives up his life savings to secure a job for him in the Police force.,ᱚᱨᱡᱩᱱ ᱟᱡ ᱵᱟᱵᱟ ᱯᱩᱞᱤᱥ ᱯᱷᱟᱹᱫ ᱨᱮ ᱩᱱᱤ ᱪᱟᱹᱠᱨᱤ ᱧᱟᱢ ᱦᱚᱪᱚ ᱞᱟᱹᱜᱤᱫ ᱟᱡᱟᱜ ᱡᱤᱭᱚᱱ ᱨᱮᱭᱟᱜ ᱥᱟᱱᱟᱢ ᱥᱟᱧᱪᱟᱣ ᱮ ᱮᱢ ᱪᱟᱵᱟ ᱞᱮᱫᱟ ᱾
192505842,"In 2006, the Bombay High Court finds Sanjay guilty under the Possession of Arms Act, while not finding him to be a terrorist.","᱒᱐᱐᱖ ᱥᱟᱹᱦᱤᱛ ᱨᱮ ᱵᱚᱢᱵᱮ ᱦᱟᱭᱠᱳᱴ ᱥᱚᱧᱡᱚᱭ ᱫᱚᱛᱛᱚ ᱫᱚ ᱦᱟᱹᱛᱤᱭᱟᱹᱨ ᱟᱹᱱ ᱟᱶᱛᱟ ᱨᱮᱠᱚ ᱫᱳᱥᱤ ᱠᱮᱫᱮᱭᱟ, ᱮᱱᱛᱮᱨᱮᱦᱚᱸ ᱩᱱᱤ ᱞᱚᱞᱚᱦᱟᱛᱟᱝ ᱦᱤᱥᱟᱹᱵ ᱛᱮᱫᱚ ᱵᱟᱝᱠᱚ ᱪᱤᱱᱦᱟᱹ ᱟᱠᱟᱫᱮᱭᱟ ᱾"
192515842,"In the 1990s, Sanjay turns to bodybuilding and his career in Bollywood greatly improves.",᱑᱙᱙᱐ ᱨᱮᱭᱟᱜ ᱫᱚᱥᱚᱠ ᱨᱮ ᱥᱚᱧᱡᱚᱭ ᱦᱚᱲᱢᱚᱼᱟᱯᱱᱟᱨ ᱛᱮᱭ ᱢᱚᱱᱮ ᱞᱮᱫᱟ ᱟᱨ ᱵᱚᱞᱤᱭᱩᱰ ᱨᱮ ᱟᱭᱟᱜ ᱠᱟᱹᱢᱤᱡᱤᱭᱚᱱ ᱨᱮᱭᱟᱜ ᱮ ᱩᱛᱱᱟᱹᱣ ᱞᱮᱫᱟ ᱾
192525842,"The Canada Cup is an international club tournament that is held every year in Toronto, Ontario, Canada.",ᱠᱟᱱᱟᱰᱟ ᱠᱟᱯ ᱢᱤᱫᱴᱟᱝ ᱡᱮᱜᱮᱫ ᱡᱟᱠᱟᱛ ᱠᱞᱟᱵ ᱴᱩᱨᱱᱟᱢᱮᱱᱴ ᱡᱟᱦᱟᱸ ᱫᱚ ᱯᱨᱚᱛᱤ ᱥᱮᱨᱢᱟ ᱠᱟᱱᱟᱰᱟ ᱨᱮᱭᱟᱜ ᱚᱱᱴᱟᱨᱤᱭᱳ ᱴᱚᱨᱚᱱᱴᱳᱨᱮ ᱦᱚᱭᱩᱜᱼᱟ ᱾
192535842,"A team nominated by the local event organiser also gets automatic qualification, and then the last two spots are determined by qualification tournaments.",ᱴᱚᱴᱷᱟ ᱦᱮᱯᱨᱟᱣ ᱨᱮ ᱥᱟᱯᱲᱟᱣᱤᱭᱟᱹ ᱠᱚ ᱦᱚᱛᱮᱛᱮ ᱵᱟᱪᱷᱱᱟᱣ ᱢᱤᱫᱴᱟᱝ ᱫᱚᱞ ᱱᱤᱡᱮ ᱛᱮᱜᱮ ᱡᱚᱜᱽᱢᱟᱱ ᱦᱟᱛᱟᱣᱟ ᱟᱨ ᱤᱱᱟᱹ ᱛᱟᱭᱚᱢ ᱢᱩᱪᱟᱹᱫ ᱵᱟᱨᱭᱟ ᱴᱷᱟᱶ ᱡᱚᱜᱽᱢᱟᱱ ᱦᱟᱛᱟᱣᱮᱫ ᱠᱟᱱ ᱴᱩᱨᱱᱟᱢᱮᱱᱴ ᱫᱟᱨᱟᱭᱛᱮᱠᱚ ᱵᱟᱪᱷᱟᱣᱟ ᱾
192545842,It is now the premier IFF event for Men's and Women's Club teams.,ᱱᱚᱣᱟ ᱫᱚ ᱱᱤᱛ ᱠᱚᱲᱟ ᱟᱨ ᱛᱤᱨᱞᱟᱹ ᱠᱞᱟᱵ ᱫᱚᱞ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱟᱥᱚᱞ ᱟᱭᱹᱮᱯᱷᱹᱮᱯᱷ ᱤᱵᱷᱮᱱᱴ ᱠᱟᱱᱟ ᱾
192555842,The national championship winners from the Top-4 ranked nations compete in the event.,ᱥᱤᱨᱟᱹᱼ᱔ ᱟᱜ ᱴᱷᱟᱸᱣ ᱦᱟᱢᱮᱴ ᱫᱤᱥᱚᱢ ᱠᱚᱫᱚ ᱡᱟᱹᱛᱤᱭᱚ ᱪᱮᱢᱯᱤᱭᱟᱱᱥᱤᱯ ᱡᱤᱛᱠᱟᱹᱨ ᱠᱚ ᱫᱚ ᱱᱚᱣᱟ ᱤᱵᱷᱮᱱᱴ ᱨᱮ ᱠᱚ ᱯᱨᱚᱛᱤᱫᱚᱱᱫᱤᱛᱟᱭᱟ ᱾
192565842,"In 2008, the tournament switched back to its one-year format.",᱒᱐᱐᱘ ᱥᱟᱞ ᱨᱮ ᱴᱩᱱᱟᱢᱮᱱᱴ ᱫᱚ ᱟᱡᱟᱜ ᱢᱤᱫ ᱥᱮᱨᱢᱟ ᱨᱮᱭᱟᱜ ᱨᱩᱯ ᱨᱮᱭ ᱨᱩᱣᱟᱹᱲ ᱞᱮᱱᱟ ᱾
192575842,In 2011 it underwent another change when the Champions Cup was introduced for the first time.,᱒᱐᱑᱑ ᱥᱟᱞ ᱨᱮ ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱟᱨ ᱢᱤᱫᱴᱟᱝ ᱵᱚᱫᱚᱞ ᱦᱩᱭ ᱞᱮᱱᱟ ᱡᱚᱠᱷᱚᱱ ᱯᱩᱭᱞᱩ ᱪᱮᱢᱯᱤᱭᱚᱱᱥ ᱠᱟᱯ ᱥᱟᱯᱲᱟᱣ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾
192585842,"It is distinct from the Women's Floorball World Championships, which is for women's teams.",ᱱᱚᱣᱟ ᱛᱤᱨᱞᱟᱹ ᱠᱚᱣᱟᱜ ᱜᱟᱫᱮᱞ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱵᱚᱨᱟᱫ ᱟᱠᱟᱱ ᱛᱤᱨᱞᱟᱹ ᱠᱚᱣᱟᱜ ᱯᱷᱞᱳᱨᱵᱚᱞ ᱵᱤᱥᱥᱚ ᱪᱟᱢᱯᱤᱭᱟᱱᱥᱤᱯ ᱠᱷᱚᱱ ᱫᱚ ᱵᱷᱮᱜᱟᱨ ᱜᱮᱭᱟ ᱾
192595842,It is recognized by the IOC and is an ordinary member of the ARISF.,ᱱᱚᱣᱟ ᱟᱭ ᱳ ᱥᱤ ᱦᱚᱛᱮᱛᱮ ᱢᱟᱹᱱ ᱧᱟᱢ ᱟᱨ ᱮ ᱟᱨ ᱟᱭ ᱮᱥ ᱮᱯᱷ ᱱᱚᱣᱟ ᱨᱮᱱ ᱢᱤᱫ ᱦᱚᱲ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱨᱟᱹᱥᱤᱭᱟᱹ ᱾
192605842,"Based on the number of registered floorball players and a country's population, a list of the top 25 countries has been compiled:",ᱚᱞ ᱟᱠᱟᱱ ᱯᱷᱞᱳᱨᱵᱚᱞ ᱠᱷᱮᱞᱚᱸᱰᱤᱭᱟᱹ ᱮᱞ ᱟᱨ ᱢᱤᱫᱴᱟᱝ ᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱦᱚᱲ ᱞᱮᱠᱷᱟ ᱨᱮ ᱴᱮᱦᱟᱸᱵ ᱠᱟᱛᱮᱫ ᱢᱩᱪᱟᱹᱫ ᱒᱕ ᱜᱚᱴᱟᱝ ᱫᱤᱥᱚᱢ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱛᱟᱞᱤᱠᱟ ᱵᱮᱱᱟᱣ ᱦᱩᱭ ᱟᱠᱟᱱᱟ ᱾
192615842,Qualification can be made via a number of processes.,ᱵᱮᱥ ᱠᱤᱪᱷᱩ ᱜᱟᱱ ᱯᱨᱚᱛᱤᱠᱨᱤᱭᱟ ᱛᱟᱞᱟᱛᱮ ᱡᱚᱜᱽᱢᱟᱱ ᱴᱷᱟᱹᱣᱠᱟ ᱜᱚᱴᱟ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
192625842,"It is not affiliated with any federation, so it has players from around the world.","ᱱᱚᱣᱟ ᱫᱚ ᱡᱟᱦᱟᱱ ᱯᱷᱮᱰᱟᱨᱮᱥᱚᱱ ᱥᱟᱶ ᱥᱮᱞᱮᱫ ᱵᱟᱱᱩᱜᱼᱟ , ᱚᱱᱟᱛᱮ ᱜᱚᱴᱟ ᱡᱮᱜᱮᱫ ᱨᱮᱱ ᱠᱷᱮᱞᱳᱰᱤᱭᱟᱹ ᱠᱚ ᱱᱚᱣᱟ ᱨᱮ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ ᱾"
192635842,"The main idea was the same as ringboll, but the new sport now stood on its own.","ᱢᱩᱬᱩᱫ ᱵᱷᱟᱵᱽᱱᱟ ᱨᱤᱝᱵᱳᱞ ᱞᱮᱠᱟ ᱛᱟᱦᱮᱜ ᱠᱟᱱᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱱᱟᱣᱟ ᱠᱷᱮᱞᱳᱰ ᱨᱮ ᱫᱚ ᱱᱤᱛᱦᱚᱸ ᱟᱪ ᱞᱮᱠᱟᱛᱮ ᱛᱤᱜᱩ ᱞᱮᱱᱟᱭ ᱾"
192645842,"Thailand qualified one pilot in drone racing at the World Games, as a result of the FAI The World Games 2022 Women Selection List.",ᱮᱯᱷ ᱮ ᱟᱭ ᱟᱜ ᱳᱭᱟᱨᱞᱰ ᱜᱮᱢᱥ ᱒᱐᱒᱒ ᱥᱟᱹᱦᱤᱛ ᱨᱮ ᱦᱩᱭᱮᱱ ᱵᱟᱪᱷᱱᱟᱭ ᱟᱠᱟᱱᱟᱭ ᱛᱷᱟᱭᱞᱮᱱᱰ ᱨᱮᱱ ᱛᱤᱨᱞᱟᱹ ᱰᱨᱳᱱ ᱦᱮᱯᱨᱟᱣ ᱨᱮ ᱢᱤᱫᱦᱚᱲ ᱯᱟᱭᱞᱳᱴ ᱞᱮᱠᱢᱟᱱ ᱦᱟᱢᱮᱴ ᱟᱠᱟᱫᱟ ᱾
192655842,Phantipha Wongchuvej also qualified in women's pétanque precision shooting.,ᱯᱷᱟᱱᱛᱤᱯᱷᱟ ᱳᱣᱟᱝᱪᱩᱵᱷᱮᱡ ᱛᱤᱨᱞᱟᱹ ᱠᱚᱣᱟᱜ ᱯᱤᱴᱟᱝᱠᱚ ᱯᱨᱮᱥᱤᱥᱟᱱ ᱥᱩᱴᱤᱝ ᱨᱮᱭᱟᱜ ᱞᱮᱠᱢᱟᱱᱮ ᱦᱟᱢᱮᱴ ᱞᱮᱫᱟ ᱾
192665842,"This infrastructure would also benefit all the government departments, entrepreneurs and individual homes.","ᱱᱚᱣᱟ ᱯᱚᱨᱤᱠᱟᱴᱷᱟᱢᱳ ᱥᱟᱱᱟᱢ ᱥᱚᱨᱠᱟᱹᱨᱤ ᱫᱚᱯᱛᱚᱨ, ᱵᱤᱨᱤᱫ ᱩᱫᱜᱟᱹᱣ ᱟᱨ ᱱᱤᱡ ᱟᱱ ᱚᱲᱟᱜ ᱠᱚᱦᱚᱸ ᱵᱷᱟᱹᱞᱟᱹᱭ ᱦᱳᱭᱳᱜᱼᱟ ᱾"
192675842,And then collect the lines again to make a bigger line.,ᱚᱱᱟ ᱛᱟᱭᱚᱢ ᱢᱤᱫᱴᱟᱝ ᱢᱟᱨᱟᱝ ᱵᱟᱵᱮᱨ ᱵᱮᱱᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱦᱩᱰᱤᱧ ᱵᱟᱵᱮᱨ ᱠᱚᱫᱚ ᱟᱵᱟᱨ ᱢᱤᱫ ᱥᱟᱣᱛᱮ ᱡᱚᱲᱟᱣ ᱦᱩᱭᱩᱜᱼᱟ ᱾
192685842,"In Poland, a version of tug of war is played using a dragon boat, where teams of 6 or 8 attempt to row towards each other.","ᱯᱳᱞᱮᱹᱱᱰ ᱨᱮ ᱵᱟᱵᱮᱨ ᱚᱨ ᱠᱷᱮᱞᱚᱰ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱟᱹᱨᱩ ᱨᱩᱣᱟᱹᱲ ᱫᱚ ᱰᱨᱟᱜᱚᱱ ᱵᱳᱴ ᱵᱮᱣᱦᱟᱨ ᱠᱟᱛᱮᱫ ᱠᱚ ᱨᱩᱭᱟ, ᱡᱟᱦᱟᱸ ᱨᱮ ᱖ ᱥᱮ ᱘ ᱜᱚᱴᱟᱝ ᱫᱚᱞ ᱢᱤᱫᱴᱮᱱ ᱫᱚ ᱢᱤᱫᱴᱮᱱ ᱥᱮᱫ ᱯᱟᱱᱛᱮᱜ ᱨᱮᱭᱟᱜ ᱠᱚ ᱨᱤᱠᱟᱹᱭᱟ ᱾"
192695842,Americans have since claimed to have invented floorball.,ᱩᱱᱠᱷᱚᱱ ᱜᱮ ᱢᱟᱨᱠᱤᱱ ᱠᱚ ᱫᱟᱹᱵᱤ ᱟᱹᱜᱩᱭᱮᱫᱟ ᱡᱮ ᱩᱱᱠᱩᱜᱮ ᱯᱷᱞᱳᱨᱵᱚᱞ ᱠᱚ ᱥᱤᱨᱡᱟᱹᱣ ᱞᱮᱫᱟ ᱾
192705842,Floorball is a type of floor hockey with five players and a goalkeeper in each team.,ᱯᱷᱞᱳᱨᱵᱚᱞ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱞᱮᱠᱟᱱ ᱯᱷᱞᱳᱨ ᱦᱚᱠᱤ ᱡᱟᱦᱟᱸ ᱨᱮ ᱥᱟᱱᱟᱢ ᱫᱚᱞ ᱨᱮ ᱢᱚᱬᱮ ᱦᱚᱲ ᱠᱟᱛᱮ ᱠᱷᱮᱞᱚᱰᱤᱭᱟᱹ ᱟᱨ ᱢᱤᱫ ᱦᱚᱲ ᱠᱳᱞᱠᱤᱯᱟᱨ ᱮ ᱛᱟᱦᱮᱱᱟ ᱾
192715842,"However, in small or informal entertainment competitions, the rules are often arbitrarily interpreted and followed.","ᱢᱮᱱᱠᱷᱟᱱ ᱦᱩᱰᱤᱧ ᱥᱮ ᱟᱠᱷᱲᱟᱣᱟᱱ ᱨᱟᱹᱥᱠᱟᱹᱣᱟᱱᱟᱜ ᱦᱮᱯᱨᱟᱣ ᱨᱮ, ᱟᱹᱱ ᱠᱚᱫᱚ ᱡᱟᱣ ᱜᱮ ᱵᱤᱱ ᱵᱤᱪᱟᱹᱨ ᱛᱮ ᱵᱤᱪᱷᱱᱟᱹᱣ ᱥᱮ ᱯᱤᱪᱷᱟᱹᱭᱟᱠᱚ ᱾"
192725842,Face-off dots are marked on the center line.,ᱯᱷᱮᱥᱼᱚᱯᱷ ᱵᱤᱱᱫᱩ ᱠᱚ ᱛᱟᱞᱢᱟ ᱪᱮᱛᱟᱱ ᱪᱤᱱᱦᱟᱹ ᱠᱚᱨᱟᱣ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾
192735842,"In January 2009, the IFF and the sport of floorball received recognition from the Special Olympics.","᱒᱐᱐᱙ ᱥᱟᱞ ᱨᱮᱭᱟᱜ ᱡᱟᱱᱩᱣᱟᱨᱤ ᱨᱮ, ᱟᱭᱹᱮᱯᱷᱹᱮᱯᱷ ᱟᱨ ᱯᱷᱞᱳᱨᱵᱚᱞ ᱠᱷᱮᱞᱚᱰ ᱫᱚᱵᱮᱥᱮᱥ ᱚᱞᱤᱢᱯᱤᱠ ᱠᱷᱚᱱ ᱥᱤᱠᱨᱤᱛᱤᱧᱟᱢ ᱞᱮᱫᱟᱭ ᱾"
192745842,"The names ""salibandy"" and ""innebandy"" are derived from bandy; they translate to ""hall bandy"" and ""indoor bandy"" respectively.","""ᱥᱮᱞᱤᱵᱮᱱᱰᱤ"" ᱟᱨ ""ᱤᱱᱵᱮᱱᱰᱤ"" ᱧᱩᱛᱩᱢ ᱠᱚᱫᱚ ᱵᱮᱱᱰᱤ ᱠᱷᱚᱱ ᱦᱟᱛᱟᱣ ᱦᱩᱭ ᱟᱠᱟᱱᱟ ᱼ ᱚᱱᱟ ᱫᱚ ᱡᱟᱣ ᱜᱮ ""ᱦᱚᱞ ᱵᱮᱱᱰᱤ"" ᱟᱨ ""ᱤᱱᱰᱳᱨ ᱵᱮᱱᱰᱤ"" ᱛᱮ ᱛᱚᱨᱡᱚᱢᱟᱭ ᱦᱩᱭᱩᱜᱼᱟ ᱾"
192755842,"They do not have to be dots, they can also be crosses.","ᱱᱚᱣᱟ ᱠᱚ ᱨᱮᱭᱟᱜ ᱵᱤᱱᱫᱩ ᱦᱩᱭᱩᱜᱼᱟ ᱢᱮᱱᱛᱮ ᱚᱱᱠᱟ ᱫᱚ ᱵᱟᱝ, ᱱᱚᱣᱟ ᱠᱚ ᱜᱮᱫ ᱪᱤᱱᱦᱟᱹ ᱦᱚᱸ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾"
192765842,"The fort was enlarged in 1565, and passed into the hands of the Dutch in 1663 who destroyed the fort.",᱑᱕᱖᱕ ᱠᱷᱤᱥᱴᱟᱵᱫᱮ ᱜᱟᱨ ᱫᱚ ᱯᱟᱥᱱᱟᱣ ᱦᱩᱭ ᱞᱮᱟ ᱟᱨ ᱑᱖᱖᱓ ᱠᱷᱤᱥᱴᱟᱵᱫᱮ ᱳᱞᱱᱫᱟᱡ ᱠᱚᱣᱟᱜ ᱛᱤ ᱛᱮ ᱪᱟᱞᱟᱣ ᱞᱮᱱᱟ ᱡᱟᱦᱟᱭ ᱫᱚ ᱜᱟᱲ ᱮ ᱫᱷᱟᱥᱟᱣ ᱞᱮᱫᱟᱭ ᱾
192775842,"The screenplay is based on that of the Spanish-Argentine film 'Only Human', written and directed by Dominic Harari and Teresa Pelegri.",ᱰᱳᱢᱤᱱᱤᱠ ᱦᱟᱨᱟᱨᱤ ᱟᱨ ᱴᱮᱨᱮᱥᱟ ᱯᱞᱮᱜᱨᱤᱭᱟᱜᱚᱞ ᱟᱨᱮ ᱥᱟᱯᱲᱟᱣ ᱞᱮᱫ ᱥᱯᱮᱱᱤᱭᱚᱼᱟᱨᱡᱮᱱᱴᱤᱱᱤᱭᱚ ᱪᱚᱞᱚᱛ ᱪᱤᱛᱟᱹᱨ' ᱳᱱᱞᱤ ᱦᱤᱭᱩᱢᱮᱱ ᱤᱫᱤᱠᱟᱛᱮ ᱱᱚᱣᱟ ᱪᱤᱛᱟᱹᱨ ᱱᱟᱴᱚᱠ ᱫᱚᱠᱚ ᱵᱮᱱᱟᱣ ᱟᱠᱟᱫᱟ ᱾
192785842,The trailer of the film was released on 20 December 2013.,ᱪᱚᱞᱚᱛ ᱪᱤᱛᱟᱹᱨ ᱨᱮᱭᱟᱜ ᱴᱨᱮᱞᱟᱨ ᱪᱷᱟᱹᱲ ᱮ ᱧᱟᱢ ᱞᱮᱫᱟ ᱒᱐᱑᱓ ᱥᱟᱞ ᱨᱮᱭᱟᱜ ᱒᱐ ᱰᱤᱥᱮᱢᱵᱚᱨ ᱾
192795842,"Arise India and PVR Cinemas collaborated to bring the star-cast of Main Tera Hero to the initial screening at MGF Metropolitan Mall in Saket, Delhi.",ᱮᱨᱟᱭᱤᱡᱽ ᱤᱱᱰᱤᱭᱟ ᱟᱨ ᱯᱤ ᱵᱷᱤ ᱟᱨ ᱥᱤᱱᱮᱢᱟᱡ ᱡᱟᱹᱣᱛᱷᱟᱹ ᱵᱷᱟᱵᱽᱛᱮ ᱫᱤᱞᱞᱤ ᱨᱮᱭᱟᱜ ᱥᱟᱠᱮᱛᱤᱠ ᱮᱢ ᱡᱤ ᱮᱯᱷ ᱢᱮᱴᱨᱳᱯᱚᱞᱤᱴᱚᱱ ᱢᱚᱞ ᱨᱮ 'ᱢᱭ ᱛᱮᱨᱟ ᱦᱤᱨᱳ' ᱮᱛᱚᱦᱚᱵ ᱩᱫᱩᱜ ᱞᱟᱹᱜᱤᱫ ᱛᱟᱨᱚᱠᱟ ᱟᱨ ᱼ ᱱᱟᱭᱚᱠ ᱠᱚ ᱟᱜᱩᱞᱮᱫ ᱠᱚᱣᱟ ᱾
192805842,"On review aggregator website Rotten Tomatoes, the film holds an approval rating of 20% based on 5 reviews, and an average rating of 5/10.",ᱪᱚᱞᱚᱛ ᱪᱤᱛᱟᱹᱨ ᱫᱚ ᱧᱮᱞᱥᱟᱢᱴᱟᱣ ᱡᱟᱣᱨᱟ ᱳᱭᱮᱵᱥᱟᱭᱤᱴ ᱨᱚᱴᱮᱱ ᱴᱚᱢᱟᱴᱳᱥᱼᱮ ᱕ ᱜᱚᱴᱟᱝ ᱧᱮᱞᱥᱟᱢᱴᱟᱣ ᱪᱮᱛᱟᱱ ᱴᱮᱦᱟᱸᱵ ᱠᱟᱛᱮ ᱒᱐% ᱚᱱᱩᱢᱳᱫᱚᱱ ᱟᱨ ᱜᱚᱲᱨᱮ ᱕/᱑᱐ ᱨᱮᱴᱤᱝ ᱮ ᱧᱟᱢ ᱟᱠᱟᱫᱟ ᱾
192815842,He reveals that a prostitute named Meenu Rastogi was Wakeel's closest associate.,ᱩᱱᱤ ᱥᱚᱫᱚᱨ ᱞᱮᱫᱟᱭ ᱡᱮ ᱢᱤᱱᱩ ᱨᱟᱥᱛᱳᱜᱤ ᱧᱩᱛᱩᱢ ᱛᱮ ᱢᱤᱫᱦᱚᱲ ᱯᱚᱛᱤᱛᱟ ᱳᱣᱟᱠᱤᱞ ᱨᱮᱱ ᱥᱳᱨ ᱜᱟᱛᱮ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟᱭ ᱾
192825842,The film stars Saahil Prem and Amrit Maghera in the lead roles.,ᱱᱚᱣᱟ ᱪᱤᱛᱟᱹᱨ ᱨᱮ ᱢᱩᱲᱩᱫ ᱪᱩᱨᱤᱛ ᱨᱮᱚᱵᱷᱤᱱᱚᱭ ᱟᱠᱟᱫᱟᱭ ᱥᱟᱦᱤᱞ ᱯᱨᱮᱢ ᱟᱨ ᱚᱢᱨᱤᱛ ᱢᱟᱜᱷᱮᱨᱟ ᱾
192835842,"The film was directed by debutante Akshay Akkineni, son of veteran editor and multiple National Film Award winner, A. Sreekar Prasad.",ᱪᱤᱛᱟᱹᱨ ᱫᱚᱭ ᱪᱟᱪᱟᱞᱟᱣ ᱟᱠᱟᱫᱟᱭ ᱢᱟᱨᱮᱱ ᱥᱟᱯᱲᱟᱣᱤᱡ ᱟᱨ ᱟᱭᱢᱟ ᱜᱟᱱ ᱡᱟᱹᱛᱤᱭᱟᱹᱨᱤ ᱪᱚᱞᱚᱛ ᱪᱤᱛᱟᱹᱨ ᱥᱤᱨᱯᱟᱹ ᱡᱤᱛᱠᱟᱹᱨᱟᱱ ᱮ ᱥᱨᱤᱠᱚᱨ ᱯᱨᱚᱥᱟᱫ ᱨᱮᱱ ᱠᱚᱲᱟ ᱜᱤᱫᱽᱨᱟᱹ ᱚᱠᱽᱠᱷᱚᱭ ᱟᱠᱠᱤᱱᱮᱱᱤ ᱾
192845842,This area forms the north-eastern corner of the Periyar basin.,ᱱᱚᱣᱟ ᱴᱚᱴᱷᱟ ᱫᱚ ᱯᱮᱨᱤᱭᱟᱨ ᱫᱟᱜ ᱟᱲᱮ ᱨᱮᱭᱟᱜ ᱩᱛᱛᱚᱨᱼᱯᱩᱨᱵᱚ ᱠᱚᱬ ᱵᱮᱱᱟᱣᱟ ᱾
